id,value
d6i47v633pjc73dkbea0,7488
d6i481kgmsgc73btej3g,7541
d6i483sgmsgc73btej60,6982
d6i486cmmeis739ps06g,7085
d6i489633pjc73dkbeog,6076
d6i48bcmmeis739ps0e0,7239
d6i48dkgmsgc73btejhg,6690
d6i48g4mmeis739ps0jg,6921
d6i48ismmeis739ps0mg,6427
d6i48lm33pjc73dkbf9g,5926
d6i48o4mmeis739ps0sg,7520
d6i48qm33pjc73dkbfh0,7335
d6i48sg60irc7392sts0,7197
d6i48ve33pjc73dkbfn0,6968
d6i491g60irc7392su20,7045
d6i493o60irc7392su50,7156
d6i4964gmsgc73btekd0,6852
d6i498860irc7392sua0,6953
d6i49asgmsgc73btekig,6323
d6i49d060irc7392sufg,6933
d6i476o60irc7392srl0,7459
d6i479860irc7392srp0,7517
d6i47bo60irc7392srtg,6768
d6i47ecgmsgc73bteibg,6494
d6i47gm33pjc73dkbdng,6061
d6i47isgmsgc73bteii0,6823
d6i47l860irc7392ss9g,5967
d6i47nkmmeis739prvkg,6421
d6i47q633pjc73dkbe30,6726
d6i47skmmeis739prvr0,5592
77913614-5cbf-445e-8731-08371412ca3b,7284
579253f7-0d52-4ce9-b267-72314cf18ee2,7149
93d98969-0ba9-4e89-b3a6-a0d8a3dc82f8,7259
944076ca-c08c-4eb5-a378-20339253c0c4,7184
de89f4db-5891-4b68-bb2a-ab87373eef67,7033
bca25aa3-443d-4ba4-9529-12babec1f430,7065
ab67909a-9ba9-4068-aeea-ffb407b1f22c,6511
d97958fb-5d36-42d3-8230-7eebd3da4bd5,6955
9bdfea9d-0327-4dab-882d-925870d41009,6958
b807396e-56ce-4875-9f47-44f79703ba49,7175
